n_hidden = 64
max level = 3
conv size = 64
fp len = 0
batch_size = 50
max_epoch = 200000
test_interval = 1000
report_interval = 100
save_interval = 10000
lr = 0.001
l2_penalty = 0
momentum = 0.9
init iter = 0
device id = 0
loading indexes data/ENZYMES/10fold_idx/train_idx-1.txt
loading indexes data/ENZYMES/10fold_idx/test_idx-1.txt
dimension of node feature: 2
testing
iter: 19200	ReduceMean_21:out_0: 0.327159	ReduceMean_25:out_0: 0.9
iter: 19300	ReduceMean_21:out_0: 0.298019	ReduceMean_25:out_0: 0.94
iter: 19400	ReduceMean_21:out_0: 0.0498795	ReduceMean_25:out_0: 0.98
iter: 19500	ReduceMean_21:out_0: 0.0242653	ReduceMean_25:out_0: 1
iter: 19600	ReduceMean_21:out_0: 0.0922289	ReduceMean_25:out_0: 0.98
iter: 19700	ReduceMean_21:out_0: 0.0332044	ReduceMean_25:out_0: 1
iter: 19800	ReduceMean_21:out_0: 0.102754	ReduceMean_25:out_0: 0.98
iter: 19900	ReduceMean_21:out_0: 0.0167127	ReduceMean_25:out_0: 1
testing
test@iter: 20000	ReduceMean_21:out_0: 3.97166	ReduceMean_25:out_0: 0.583333
saving model for iter=20000
iter: 20000	ReduceMean_21:out_0: 0.0401191	ReduceMean_25:out_0: 1
iter: 20100	ReduceMean_21:out_0: 0.0940135	ReduceMean_25:out_0: 0.98
iter: 20200	ReduceMean_21:out_0: 1.33987	ReduceMean_25:out_0: 0.66
iter: 20300	ReduceMean_21:out_0: 0.0583342	ReduceMean_25:out_0: 1
iter: 20400	ReduceMean_21:out_0: 0.067944	ReduceMean_25:out_0: 0.98
iter: 20500	ReduceMean_21:out_0: 0.187655	ReduceMean_25:out_0: 0.94
iter: 20600	ReduceMean_21:out_0: 0.127032	ReduceMean_25:out_0: 0.96
iter: 20700	ReduceMean_21:out_0: 0.0232654	ReduceMean_25:out_0: 1
iter: 20800	ReduceMean_21:out_0: 0.01984	ReduceMean_25:out_0: 1
iter: 20900	ReduceMean_21:out_0: 0.00939887	ReduceMean_25:out_0: 1
testing
test@iter: 21000	ReduceMean_21:out_0: 3.71635	ReduceMean_25:out_0: 0.65
iter: 21000	ReduceMean_21:out_0: 0.0169375	ReduceMean_25:out_0: 1
iter: 21100	ReduceMean_21:out_0: 0.629914	ReduceMean_25:out_0: 0.72
iter: 21200	ReduceMean_21:out_0: 0.100272	ReduceMean_25:out_0: 0.96
iter: 21300	ReduceMean_21:out_0: 0.0228163	ReduceMean_25:out_0: 1
iter: 21400	ReduceMean_21:out_0: 0.0259226	ReduceMean_25:out_0: 1
iter: 21500	ReduceMean_21:out_0: 0.0311438	ReduceMean_25:out_0: 0.98
